ITEM#,DATE,WK#,COURSE,ASSIGNMENT NAME,DESCRIPTION,DONE,TIMEZONE
1,1/13/2024,1,CAS502,A1: P1: Read Articles ,Statement that stood out ,Y,US/Arizona
2,1/13/2024,1,CAS502,A1: P1: Find Statement,Write why interesting…answer questions,Y,US/Arizona
3,1/13/2024,1,CAS502,A1: P2: Watch a Video,Two recs and what could have done differently,Y,US/Arizona
4,1/15/2024,2,CAS502,WK2: Automated Ideas,Brainstorm what to Automate,Y,US/Arizona
5,1/15/2024,2,CAS502,WK2: Team Name Title,Group Project 1,Y,US/Arizona
6,1/18/2024,2,CAS502,WK2 A2: FinPrj Description,"Challenges, and communication plan. Computational task",Y,US/Arizona
7,1/20/2024,2,ORG7074,WK2: Discussion,Post PDF Brief Overview of topic and article,Y,US/Pacific
8,1/20/2024,2,ORG7074,WK2: Discussion Response,Peer Response 1,Y,US/Pacific
9,1/20/2024,2,ORG7074,WK2: Discussion Response ,Peer Response 2,Y,US/Pacific
10,1/22/2024,2,RES3500,WK2: Discussion 2,Self-Assessment of Writing,Y,US/Pacific
13,1/22/2024,2,RES3500,WK2: Practice Acty 2,Prospectus -the Introduction,Y,US/Pacific
11,1/23/2024,2,RES3500,WK2: Discussion Response,Peer Response 1,Y,US/Pacific
12,1/23/2024,2,RES3500,WK2: Discussion Response ,Peer Response 2,Y,US/Pacific
14,1/25/2024,3,CAS502,A3: GitHub Repository ,"Put project material, create issues, commit files",Y,US/Arizona
15,1/28/2024,3,ORG7074,WK3: Discussion,Innovation systems thinking and circular,Y,US/Pacific
16,1/29/2024,3,RES3500,WK3: D3 Videoconference,Introduction funnel,Y,US/Pacific
17,1/29/2024,3,RES3500,WK3: Practice Activity 3,Problem Background pt1 Rev of Lit Metrix document,Y,US/Pacific
18,1/30/2024,3,ORG7074,WK3: Discussion Response,Peer Respond,Y,US/Pacific
19,2/1/2024,3,CAS502,A4: Project Step 4,"Implementation Plan: Lang., packages, Code, progress",Y,US/Arizona
20,2/2/2024,4,CAS502,WK4: Assignment 4,Dependencies and Implementation,Y,US/Arizona
21,2/2/2024,4,CAS502,WK4: Discussion  Question,Issues when Reusing Software,Y,US/Arizona
22,2/2/2024,4,CAS502,WK4: Discussion Question,What would we need?,Y,US/Arizona
23,2/4/2024,4,ORG7074,WK4: Discussion,"Based rev of lit, post the pdf of one article, Discuss ",Y,US/Pacific
24,2/4/2024,4,ORG7074,WK4- Assignment #2,Develop a Literature Review on Global Climate Change,N,US/Pacific
25,2/5/2024,4,RES3500,WK4: Practice Activity 4,Problem Background pt2 Synthesis of Lit,N,US/Pacific
26,2/6/2024,4,ORG7074,WK4: Discussion Response,Peer Respond,N,US/Pacific
27,2/8/2024,4,CAS502,A5: Project Step 5,"Coding prog, 2+ issues completed, changes?, revision",N,US/Arizona
28,2/11/2024,5,ORG7074,WK5: Discussion,MIT state of supply chain item and discuss ,N,US/Pacific
29,2/12/2024,5,RES3500,WK5: Discussion 4,What is the Conceptual/Theoretical Lit?,N,US/Pacific
30,2/12/2024,5,RES3500,WK5: Practice Activity 5,Draft conceptual/theoretical framework,N,US/Pacific
31,2/13/2024,5,ORG7074,WK5: Discussion response,Respond to Peer,N,US/Pacific
32,2/13/2024,4,CAS502,A6: Project Step 6,Code Quality Tools and services,N,US/Arizona
33,2/14/2024,5,RES3500,WK5: Discussion 4 Respond,Respond to Peer,N,US/Pacific
34,2/18/2024,5,CAS502,A7: Project Step 7,Write Unit Test to ensure code quality,N,US/Arizona
35,2/18/2024,6,ORG7074,WK6: Discussion,PDF article of interest,N,US/Pacific
36,2/18/2024,6,ORG7074,WK6: Discussion Response,Peer Respond,N,US/Pacific
37,2/18/2024,6,ORG7074,WK6: Assignment #3,Paper lit rev water and natural resources,N,US/Pacific
38,2/19/2024,5,RES3500,WK6: Discussion 5 ,What is Methodological Lit,N,US/Pacific
39,2/21/2024,5,RES3500,WK6: Discussion 5 Response,Peer Respond,N,US/Pacific

